ZdAId,ZdCId
52746,68919
49275,67925
49304,67891
49409,68007
49463,68168
416496,416494
416544,416545
416507,416508
50532,71946
47345,72517
463354,71073
470756,66520
45858,73629
42976,63875
416517,416518
57518,70307
51245,71997
57076,71990
52265,70827
50950,70806
50992,70964
46159,72606
51234,71943
50429,69676
46301,69668
427120,71785
45157,71382
58373,71688
45914,482753
57070,70973
50178,71529
45940,70199
45962,70156
55667,71880
44553,70696
57542,71890
57261,481055
52169,72748
55656,72138
51140,70911
478364,478365
47173,479995
473789,473790
58928,74060
58976,69770
50586,70863
51021,69802
422414,73023
44977,70456
45872,71347
45373,74054
53147,70920
45191,71821
58460,69887
47389,70838
50678,72201
47634,426541
50615,70944
473727,71088
46579,71479
53368,63764
50706,72444
473397,63989
58074,71928
46114,72523
470543,71148
51537,71533
47018,71087
57267,71768
50404,70603
463921,71318
47709,70208
51780,66829
58072,60458
57018,62423
57553,62544
53425,62489
53438,62534
53436,62522
53445,62551
53442,62496
53462,62405
53469,62446
53475,62371
53488,62404
53497,62401
53413,62081
48675,63119
48663,63051
48642,63577
57679,63468
44467,63801
53388,63849
52901,63534
463827,71100
42855,72720
59167,74236
417626,417529
47477,68906
47472,68929
47471,68884
44883,68858
52465,69068
52555,68861
52562,68912
52710,68908
52714,68942
45599,72020
45500,71478
45639,71779
470564,71324
486984,487053
58862,74024
50233,70453
50533,72029
51108,70599
473621,70313
50722,70136
480120,74028
50450,72492
45701,71112
52298,60938
58630,73559
420583,420584
58773,70875
44078,63829
44213,63539
57762,63583
57917,63373
57926,63339
50880,73041
58307,72767
490717,490795
473781,473782
462925,70972
412395,412689
483290,69849
45590,72451
464025,464026
45464,70761
45998,69908
58137,70928
45889,70420
57243,70977
50507,70831
50553,72436
413083,426136
53681,70826
473778,71170
462879,72387
488320,488626
57047,71852
51657,73069
46068,72143
47632,74014
463569,71177
58867,72472
44965,70814
46373,70442
45266,71057
44272,69792
45394,71332
463915,73675
473755,71367
58887,74033
59084,74166
46866,64320
43869,60624
54942,63610
56725,63455
43560,63416
59091,74172
59083,74165
54850,59840
43299,64389
42710,63658
42693,59798
49173,63432
45751,60566
51574,60468
58725,71801
47285,490755
59383,420428
48754,62685
59164,74233
48715,63161
59086,74168
59143,74215
420385,420386
48705,63248
48765,60513
48794,60838
48752,426660
54971,59969
43710,60399
54970,59978
42568,60402
45055,60498
43007,60114
424206,60057
48690,63201
57924,63386
48729,62681
48777,60923
48727,60914
43030,63587
48735,60428
480017,480060
48638,60844
56704,60605
48726,60896
43185,60665
46821,60617
48719,63047
48677,63053
48773,60826
48761,60926
48653,60488
415268,415269
42650,60405
420648,420663
58974,74089
48802,62970
48805,474127
54065,64461
44910,64307
54041,64722
54000,65206
54379,64336
53964,64823
46844,425951
415010,64682
53943,64455
54039,64532
53963,64881
42800,64352
53975,64478
54121,64356
54936,60650
54981,60883
44869,61047
56683,60556
54962,62714
54879,59680
54866,62946
59269,74317
55042,60345
56697,60703
54909,60127
54910,60198
56715,60742
55070,60029
55025,59856
55041,60394
56692,60670
55013,60989
54917,63746
56690,60651
54851,59727
56691,60578
55035,59929
54919,424401
54918,63748
54963,62844
56664,59847
55020,59955
59305,74352
54995,60254
56682,60796
473385,63955
54941,63645
55005,59650
54977,60921
42928,63443
56676,60482
55067,60023
420026,63141
55063,60023
42600,62651
49142,63436
54890,60614
54906,60155
424148,424149
55064,59960
55057,59981
56670,60677
55051,59717
54948,60718
54892,60593
56668,60749
46170,73435
52339,73535
415653,69097
55518,72729
56734,69036
51597,69070
57374,72716
45854,60520
44207,60609
462025,462026
48531,60351
48537,60279
48539,60317
45855,60497
48524,60266
52940,60166
45853,60531
48545,60370
58420,73774
43750,60218
488611,488612
48498,60400
420834,420835
43644,60343
51344,60303
48508,60414
420831,483783
48497,60175
49881,62373
49869,60500
49886,62341
52215,66972
51511,66912
51502,66665
51492,66920
51478,66423
51449,66855
51470,66388
51777,66807
